Soil_Type,Crop_Type,Nitrogen,Phosphorus,Potassium,pH,Moisture,Temperature,Humidity,Fertilizer
Clayey,Cotton,105,10,56,6.6,53.2,30.0,66.4,DAP
Black,Maize,26,25,74,6.2,55.3,26.4,84.4,28-28-0
Red,Sugarcane,13,7,35,5.7,65.3,35.3,44.0,28-28-0
Sandy,Millets,8,83,10,8.4,44.9,37.7,45.0,10-26-26
Loamy,Sugarcane,79,12,30,7.7,66.0,28.8,72.5,DAP
Sandy,Chickpea,101,24,16,6.8,41.2,33.9,48.4,DAP
Clayey,Rice,81,7,37,8.3,50.3,33.8,43.9,DAP
Clayey,Sugarcane,44,6,88,6.1,52.4,28.2,64.7,DAP
Sandy,Rice,39,98,99,7.3,48.7,20.0,45.3,Urea
Sandy,Rice,13,38,80,7.7,31.2,35.0,83.4,Urea
Black,Chickpea,15,18,64,7.8,27.4,36.7,72.5,28-28-0
Sandy,Chickpea,93,46,93,8.2,56.7,23.4,50.6,DAP
Black,Maize,21,70,82,7.2,46.9,31.2,64.3,Urea
Black,Wheat,46,68,19,7.7,41.6,29.8,59.4,10-26-26
Red,Rice,105,31,59,7.8,74.9,33.3,65.8,DAP
Red,Rice,42,17,35,6.5,68.8,30.3,74.3,DAP
Sandy,Cotton,51,72,80,5.9,64.9,22.3,57.9,Urea
Black,Maize,73,24,15,6.3,52.1,31.5,71.2,DAP
Clayey,Millets,93,64,47,7.0,54.3,37.1,46.9,17-17-17
Red,Cotton,35,13,55,7.8,57.6,34.2,41.0,DAP
Loamy,Millets,114,40,58,8.5,30.7,36.7,60.3,DAP
Loamy,Groundnut,51,77,57,7.3,36.4,26.0,54.0,Urea
Clayey,Pulses,29,94,79,6.7,41.7,34.5,40.2,Urea
Clayey,Sugarcane,63,55,58,7.3,70.9,28.4,61.6,DAP
Loamy,Millets,67,26,30,6.6,70.7,29.0,58.9,DAP
Sandy,Maize,90,96,67,7.2,47.9,29.3,83.9,17-17-17
Loamy,Millets,60,87,66,6.8,44.9,25.4,53.9,17-17-17
Sandy,Rice,119,51,70,6.4,54.4,26.8,77.6,DAP
Red,Sugarcane,12,33,59,5.8,63.3,28.7,62.4,28-28-0
Black,Groundnut,91,59,96,6.7,57.2,26.7,52.2,DAP
Sandy,Maize,76,58,71,6.1,37.7,27.3,64.8,DAP
Loamy,Chickpea,36,50,20,8.5,65.3,30.0,72.4,10-26-26
Red,Cotton,11,78,11,8.2,39.7,32.0,49.2,10-26-26
Sandy,Rice,6,5,51,6.8,54.2,20.5,48.2,28-28-0
Red,Wheat,24,9,41,5.6,43.2,26.0,77.1,28-28-0
Loamy,Sugarcane,28,85,78,7.8,72.4,27.9,53.3,Urea
Black,Millets,18,13,44,5.6,46.3,36.1,76.0,28-28-0
Sandy,Maize,30,62,33,6.8,57.3,27.2,49.8,Urea
Sandy,Maize,42,38,21,7.2,30.9,20.3,81.1,10-26-26
Loamy,Wheat,31,61,35,5.9,30.3,29.0,72.4,Urea
Black,Sugarcane,49,21,30,6.0,58.3,30.8,67.0,DAP
Red,Wheat,69,55,57,8.4,42.7,33.9,59.0,DAP
Black,Cotton,117,63,43,6.6,39.4,24.4,57.5,17-17-17
Black,Millets,60,37,40,5.9,72.7,37.1,57.8,DAP
Black,Cotton,102,77,30,7.3,49.8,30.7,42.3,17-17-17
Sandy,Maize,108,46,29,7.6,45.6,26.2,55.8,DAP
Black,Groundnut,102,16,23,6.3,59.7,34.7,76.0,DAP
Red,Wheat,117,51,16,7.6,64.5,34.5,83.3,10-26-26
Black,Millets,74,76,29,7.6,57.9,33.2,76.3,17-17-17
Loamy,Maize,36,14,20,7.5,27.6,31.6,71.2,DAP
Loamy,Groundnut,11,13,52,5.6,70.8,23.3,65.6,28-28-0
Clayey,Millets,103,22,63,5.7,62.3,27.6,75.8,DAP
Loamy,Groundnut,7,41,47,6.9,53.0,31.7,56.4,Urea
Clayey,Millets,97,90,29,7.1,40.8,33.0,42.9,17-17-17
Loamy,Maize,46,38,34,5.6,36.6,35.9,67.7,17-17-17
Sandy,Groundnut,33,66,97,8.5,64.9,29.5,82.3,Urea
Red,Wheat,29,88,9,7.8,74.2,31.3,79.3,10-26-26
Loamy,Rice,66,41,29,6.4,39.4,22.0,56.0,14-35-14
Sandy,Rice,16,63,41,7.5,44.2,37.8,59.2,Urea
Black,Wheat,66,81,29,7.3,69.2,30.6,84.2,17-17-17
Red,Groundnut,119,78,61,6.2,66.9,21.2,58.1,17-17-17
Loamy,Pulses,91,53,13,7.4,65.0,37.2,77.2,10-26-26
Red,Chickpea,66,21,92,7.8,44.8,37.9,47.8,DAP
Black,Chickpea,18,15,60,7.3,51.8,24.0,50.1,28-28-0
Black,Chickpea,13,83,44,8.1,72.8,22.3,80.0,Urea
Sandy,Pulses,9,52,94,5.5,37.6,33.2,52.7,Urea
Sandy,Maize,44,49,66,8.1,28.8,24.0,70.7,20-20-0
Clayey,Chickpea,37,10,92,8.1,52.2,30.3,69.8,DAP
Red,Chickpea,93,57,46,8.0,60.4,35.3,79.0,DAP
Black,Cotton,119,35,27,8.1,69.0,33.5,47.1,14-35-14
Clayey,Wheat,100,17,50,5.5,50.4,34.7,77.4,DAP
Loamy,Rice,39,74,87,7.1,56.7,31.4,51.7,Urea
Clayey,Groundnut,41,97,26,6.0,44.6,27.8,77.8,Urea
Red,Cotton,26,21,14,7.6,40.0,32.4,43.1,14-35-14
Loamy,Sugarcane,51,33,80,8.5,67.6,21.0,43.4,Urea
Black,Cotton,10,83,36,5.6,26.2,22.3,74.1,Urea
Black,Chickpea,85,17,43,8.5,38.7,32.3,60.1,DAP
Sandy,Groundnut,26,79,31,7.5,29.1,32.5,49.9,Urea
Loamy,Chickpea,105,63,88,8.2,61.6,37.3,41.4,17-17-17
Black,Sugarcane,19,38,65,8.2,45.5,24.9,84.3,Urea
Loamy,Chickpea,76,64,50,6.9,68.2,31.7,56.6,17-17-17
Loamy,Pulses,75,7,97,7.1,47.7,21.6,46.9,DAP
Red,Wheat,75,21,88,5.5,48.1,37.4,48.3,DAP
Loamy,Cotton,6,92,76,7.2,28.2,23.6,62.1,Urea
Sandy,Rice,36,15,49,7.3,49.0,21.3,57.7,DAP
Loamy,Pulses,45,21,80,7.7,61.2,37.1,80.9,DAP
Red,Pulses,6,37,81,6.5,25.5,32.6,65.2,Urea
Sandy,Rice,50,19,48,7.2,31.6,21.4,57.9,DAP
Black,Rice,99,36,45,7.3,54.7,22.2,80.3,DAP
Red,Maize,11,79,88,6.5,65.1,35.7,72.1,Urea
Clayey,Cotton,18,79,86,6.0,27.0,34.1,61.6,Urea
Red,Sugarcane,59,49,12,6.2,68.6,24.4,47.2,10-26-26
Sandy,Groundnut,26,41,60,7.7,52.8,31.9,62.4,Urea
Black,Pulses,67,83,11,5.7,59.0,31.7,49.0,10-26-26
Sandy,Rice,112,24,64,6.5,46.3,33.1,73.4,DAP
Clayey,Millets,104,70,83,7.7,46.9,35.6,66.0,17-17-17
Red,Maize,16,7,22,8.2,54.6,27.6,52.5,14-35-14
Sandy,Millets,91,46,48,8.2,60.8,33.2,45.9,DAP
Sandy,Maize,115,18,93,8.1,37.4,35.4,62.2,DAP
Clayey,Cotton,39,9,69,6.7,40.6,21.7,69.3,DAP
Red,Millets,71,18,84,6.2,47.7,22.4,83.6,DAP
Loamy,Pulses,88,32,41,6.3,72.4,28.1,66.5,DAP
Red,Wheat,83,10,65,7.3,65.3,28.5,78.0,DAP
Clayey,Cotton,5,39,74,5.7,36.6,37.8,45.5,Urea
Sandy,Wheat,24,57,92,7.6,54.2,21.6,44.6,Urea
Loamy,Maize,54,27,48,7.0,47.7,31.5,79.1,DAP
Red,Sugarcane,12,89,5,8.3,32.2,22.3,46.0,10-26-26
Sandy,Groundnut,59,94,47,7.6,33.9,28.0,79.1,Urea
Clayey,Maize,76,93,50,5.6,53.5,31.1,79.1,17-17-17
Loamy,Cotton,109,94,66,7.5,66.3,30.8,82.3,17-17-17
Clayey,Maize,17,77,81,8.5,68.3,30.9,54.3,Urea
Black,Pulses,74,86,17,7.5,41.4,35.8,58.2,10-26-26
Black,Pulses,89,19,69,7.4,39.8,35.6,56.9,DAP
Sandy,Groundnut,39,48,94,7.1,54.8,26.8,64.7,20-20-0
Clayey,Chickpea,70,74,32,8.4,52.1,33.7,62.5,17-17-17
Sandy,Wheat,48,19,47,7.2,44.9,26.1,57.1,DAP
Clayey,Groundnut,84,51,19,6.8,66.1,32.9,63.5,10-26-26
Red,Pulses,38,82,72,6.6,71.7,36.7,42.7,Urea
Red,Wheat,110,40,34,7.2,51.6,32.1,81.8,DAP
Clayey,Maize,99,78,43,6.0,31.1,24.9,58.6,17-17-17
Loamy,Groundnut,11,58,5,7.0,73.1,30.2,51.5,10-26-26
Sandy,Millets,90,96,13,8.0,55.1,31.4,82.8,10-26-26
Clayey,Pulses,53,30,95,7.8,70.3,23.1,56.2,Urea
Red,Wheat,22,23,40,7.5,46.2,24.9,77.0,28-28-0
Clayey,Rice,25,85,26,6.9,68.5,22.8,50.6,Urea
Black,Wheat,61,29,6,6.7,36.6,30.9,64.6,DAP
Sandy,Chickpea,79,28,64,7.7,47.3,32.2,59.9,DAP
Red,Chickpea,108,40,7,5.7,38.7,33.0,66.0,10-26-26
Loamy,Pulses,6,64,9,7.1,28.5,24.1,56.0,10-26-26
Clayey,Wheat,6,91,48,6.1,47.8,32.2,50.4,Urea
Loamy,Maize,62,40,73,7.2,41.7,37.9,60.1,DAP
Clayey,Pulses,16,12,88,6.5,62.8,21.7,60.3,28-28-0
Sandy,Chickpea,112,69,34,7.7,26.0,22.2,83.8,17-17-17
Red,Wheat,20,80,42,5.9,62.8,31.2,44.0,Urea
Clayey,Cotton,109,89,6,6.5,36.4,21.1,45.3,10-26-26
Loamy,Pulses,86,59,10,8.3,39.0,29.2,77.1,10-26-26
Black,Chickpea,53,46,42,7.0,44.6,30.3,65.5,17-17-17
Sandy,Maize,84,11,56,7.9,68.4,26.9,79.5,DAP
Sandy,Pulses,86,14,29,8.4,36.2,20.4,46.9,DAP
Loamy,Maize,84,58,56,5.9,55.3,28.6,54.1,DAP
Black,Chickpea,102,72,29,5.7,43.4,27.2,46.6,17-17-17
Sandy,Cotton,82,24,22,6.4,46.6,29.9,83.5,DAP
Sandy,Sugarcane,9,87,38,6.7,43.2,20.3,67.1,Urea
Clayey,Pulses,91,87,13,6.4,56.0,28.7,73.9,10-26-26
Sandy,Chickpea,101,8,8,7.6,30.1,22.2,53.6,DAP
Loamy,Groundnut,42,54,67,7.5,33.7,24.2,49.9,17-17-17
Red,Wheat,90,18,75,7.1,42.7,27.3,69.4,DAP
Sandy,Wheat,106,83,25,6.9,45.8,33.8,40.5,17-17-17
Clayey,Groundnut,113,89,57,8.0,41.2,23.4,67.9,17-17-17
Sandy,Maize,67,25,56,7.1,30.5,37.3,62.0,DAP
Sandy,Groundnut,108,97,56,7.7,41.2,28.8,46.8,17-17-17
Clayey,Sugarcane,13,45,5,7.9,72.8,34.1,80.1,10-26-26
Red,Maize,108,25,32,6.3,71.5,21.4,52.6,DAP
Clayey,Groundnut,91,92,49,8.2,36.3,27.0,60.3,17-17-17
Sandy,Chickpea,91,47,5,5.6,59.0,33.3,63.0,10-26-26
Black,Chickpea,114,15,56,6.6,61.9,20.2,83.0,DAP
Black,Chickpea,100,12,68,7.5,29.9,23.3,47.8,DAP
Red,Sugarcane,83,54,71,8.4,36.4,36.2,75.2,DAP
Red,Rice,66,14,25,7.1,57.2,31.1,74.9,DAP
Red,Cotton,20,36,36,8.3,49.3,28.5,45.1,Urea
Black,Maize,108,63,82,5.8,54.9,20.8,45.0,17-17-17
Clayey,Pulses,50,25,36,6.1,31.1,37.0,50.8,DAP
Loamy,Groundnut,12,50,11,6.2,56.8,24.7,64.5,10-26-26
Red,Groundnut,96,33,17,6.3,62.7,21.0,54.4,10-26-26
Clayey,Maize,119,27,92,6.1,65.9,22.4,72.7,DAP
Black,Sugarcane,27,33,34,5.8,55.6,33.6,73.5,17-17-17
Red,Groundnut,20,76,5,6.9,33.0,31.5,74.3,10-26-26
Black,Wheat,111,93,14,7.9,45.1,37.9,44.5,10-26-26
Black,Wheat,90,94,62,7.2,64.2,23.4,56.0,17-17-17
Red,Sugarcane,79,20,99,6.6,72.9,33.4,49.1,DAP
Black,Groundnut,28,30,41,7.7,47.4,37.9,56.6,28-28-0
Sandy,Sugarcane,64,61,49,6.0,26.5,20.0,48.0,17-17-17
Loamy,Cotton,84,62,59,5.7,57.1,30.6,61.6,17-17-17
Red,Cotton,64,64,23,7.3,55.0,21.0,61.9,10-26-26
Black,Rice,35,68,23,7.6,64.2,21.1,55.0,10-26-26
Loamy,Cotton,51,79,61,7.3,36.0,27.8,44.0,Urea
Sandy,Sugarcane,19,74,51,6.0,49.8,23.1,68.7,Urea
Loamy,Groundnut,7,81,98,8.4,53.3,37.1,49.1,Urea
Sandy,Sugarcane,39,50,30,5.7,64.1,32.6,81.8,Urea
Sandy,Chickpea,9,74,94,6.9,65.1,35.2,48.4,Urea
Clayey,Cotton,50,64,64,5.7,25.4,36.4,75.1,17-17-17
Red,Pulses,34,90,96,5.7,28.4,31.8,83.0,Urea
Black,Groundnut,99,93,81,6.6,73.7,25.0,75.4,17-17-17
Red,Sugarcane,111,61,25,7.4,27.3,22.8,78.4,17-17-17
Clayey,Cotton,79,24,92,5.6,70.0,27.4,55.6,DAP
Sandy,Groundnut,62,25,86,7.7,38.0,20.9,58.8,DAP
Black,Wheat,89,16,65,6.4,41.9,33.1,48.6,DAP
Loamy,Pulses,37,85,28,8.1,37.5,22.7,50.1,Urea
Red,Maize,74,74,69,7.1,60.4,33.0,43.0,17-17-17
Sandy,Wheat,116,55,43,6.9,58.5,37.0,78.2,DAP
Red,Sugarcane,68,67,53,6.9,65.3,21.1,63.1,17-17-17
Sandy,Groundnut,108,89,83,7.1,62.8,23.0,54.9,17-17-17
Red,Sugarcane,30,67,70,8.5,47.6,35.7,50.7,Urea
Black,Pulses,56,27,93,5.8,49.9,36.4,64.2,DAP
Black,Maize,28,96,45,7.1,35.2,34.0,83.4,Urea
Sandy,Cotton,108,86,46,8.2,44.8,31.4,75.9,17-17-17
Red,Cotton,111,44,37,8.2,43.2,23.0,67.6,DAP
Sandy,Rice,114,23,36,7.9,40.7,33.2,76.9,DAP
Red,Pulses,25,34,17,7.0,74.4,33.3,54.4,10-26-26
Red,Maize,73,29,7,5.9,57.8,37.9,84.1,DAP
Red,Rice,65,96,97,7.7,29.0,32.9,80.1,17-17-17
Red,Pulses,70,51,77,8.5,63.0,36.5,45.0,DAP
Clayey,Wheat,32,94,66,6.2,51.3,34.7,79.6,Urea
Sandy,Rice,79,61,27,6.1,62.0,27.6,80.7,17-17-17
Loamy,Sugarcane,88,20,38,7.4,74.0,35.1,61.2,DAP
Black,Maize,5,76,91,8.1,33.7,32.4,43.1,Urea
Red,Chickpea,61,57,50,5.7,43.0,35.6,49.7,DAP
Red,Cotton,86,10,95,7.5,64.4,35.7,74.5,DAP
Black,Groundnut,76,66,39,8.1,48.0,22.0,60.1,17-17-17
Black,Chickpea,91,26,52,8.3,62.0,27.6,41.9,DAP
Black,Pulses,49,75,82,8.0,60.0,37.5,77.2,Urea
Black,Pulses,42,57,65,6.8,56.8,31.3,64.0,Urea
Loamy,Cotton,79,57,63,6.4,48.4,24.4,40.6,DAP
Red,Pulses,90,45,59,6.5,68.9,21.2,79.5,DAP
Red,Rice,73,52,24,7.1,67.8,30.5,84.8,10-26-26
Black,Wheat,39,85,92,5.6,51.3,28.8,73.2,Urea
Sandy,Rice,19,23,30,6.9,70.5,32.5,43.7,17-17-17
Sandy,Cotton,55,8,59,7.9,47.3,23.1,82.7,DAP
Red,Groundnut,70,92,38,7.5,49.4,21.9,57.3,17-17-17
Loamy,Groundnut,21,65,16,6.3,28.5,29.1,68.5,10-26-26
Clayey,Sugarcane,113,44,18,6.9,48.5,36.3,50.7,10-26-26
Sandy,Chickpea,117,66,12,8.1,51.9,28.5,66.6,10-26-26
Red,Cotton,110,58,13,6.2,46.9,25.1,60.8,10-26-26
Sandy,Millets,59,45,43,8.1,51.6,25.1,76.8,Urea
Black,Chickpea,80,76,76,6.8,44.7,22.4,52.4,17-17-17
Sandy,Wheat,73,12,29,8.4,66.2,30.9,53.9,DAP
Sandy,Groundnut,72,98,37,6.3,68.6,34.9,41.8,17-17-17
Clayey,Cotton,80,19,45,8.2,52.5,21.7,66.8,DAP
Clayey,Groundnut,14,18,86,7.3,43.1,32.0,70.5,28-28-0
Loamy,Chickpea,6,97,42,5.9,61.2,31.0,79.3,Urea
Clayey,Chickpea,49,83,94,7.0,39.8,20.2,59.0,Urea
Sandy,Wheat,42,32,25,8.0,48.3,34.5,49.7,14-35-14
Black,Sugarcane,34,64,36,6.4,38.8,27.7,70.3,Urea
Black,Chickpea,52,36,61,6.5,46.5,35.4,81.2,Urea
Red,Sugarcane,11,72,41,6.0,50.6,27.1,63.7,Urea
Loamy,Millets,96,39,47,7.4,26.3,26.2,47.0,DAP
Loamy,Rice,80,69,35,6.2,43.2,32.2,67.3,17-17-17
Loamy,Cotton,79,49,8,7.0,26.4,22.5,61.9,10-26-26
Black,Sugarcane,19,34,46,7.8,26.2,27.0,47.2,28-28-0
Clayey,Wheat,72,22,77,8.2,40.7,22.1,83.0,DAP
Sandy,Rice,116,26,72,6.7,44.5,25.2,83.3,DAP
Sandy,Wheat,91,55,7,6.2,33.4,28.6,64.0,10-26-26
Sandy,Maize,48,15,72,6.3,42.1,23.5,42.6,DAP
Loamy,Chickpea,15,55,21,7.4,47.2,30.4,46.3,10-26-26
Red,Chickpea,107,89,12,6.9,64.6,25.4,54.7,10-26-26
Loamy,Wheat,102,15,58,7.3,31.6,32.8,80.8,DAP
Sandy,Sugarcane,45,50,16,7.5,27.9,33.4,64.7,10-26-26
Loamy,Sugarcane,74,59,79,7.8,29.7,37.1,63.1,DAP
Black,Rice,82,95,86,8.1,53.9,29.2,62.2,17-17-17
Red,Chickpea,49,85,85,5.7,74.8,34.5,61.4,Urea
Loamy,Rice,17,51,65,6.8,69.2,36.1,42.8,Urea
Clayey,Groundnut,46,68,25,7.6,61.1,28.6,70.9,Urea
Loamy,Maize,23,12,30,5.5,72.9,25.0,49.5,20-20-0
Black,Rice,108,12,9,5.9,62.0,33.3,77.5,DAP
Loamy,Pulses,50,82,8,7.0,29.4,35.2,67.6,10-26-26
Black,Sugarcane,38,49,65,8.3,65.4,26.3,45.0,20-20-0
Black,Chickpea,20,64,70,8.0,30.6,35.6,70.7,Urea
Clayey,Maize,12,91,82,6.3,36.6,27.3,53.3,Urea
Black,Millets,34,57,17,7.1,67.1,20.4,66.2,10-26-26
Black,Wheat,27,36,66,8.2,31.1,26.4,69.2,Urea
Red,Cotton,57,28,83,6.2,48.2,31.5,63.7,DAP
Red,Sugarcane,82,38,86,7.0,38.6,22.6,74.9,DAP
Clayey,Millets,117,97,30,5.8,45.1,33.0,52.2,17-17-17
Loamy,Maize,68,33,32,6.2,25.2,21.1,77.8,DAP
Loamy,Pulses,86,19,55,7.2,68.3,22.3,65.4,DAP
Loamy,Chickpea,91,94,33,5.8,58.8,26.8,82.1,17-17-17
Red,Rice,25,17,37,6.0,25.2,31.4,71.7,28-28-0
Red,Millets,88,87,87,6.3,72.2,22.3,70.4,17-17-17
Clayey,Wheat,103,51,22,8.1,44.3,21.9,62.4,10-26-26
Red,Chickpea,104,35,6,7.2,34.3,20.1,78.7,10-26-26
Loamy,Pulses,91,49,38,7.9,57.4,35.7,72.9,DAP
Red,Pulses,108,58,58,6.7,57.2,33.3,54.2,DAP
Red,Rice,58,14,57,8.0,58.3,21.5,41.9,DAP
Clayey,Wheat,104,18,14,5.6,41.9,20.3,57.1,DAP
Loamy,Chickpea,33,47,29,6.3,70.3,33.3,54.9,20-20-0
Clayey,Cotton,51,85,96,7.8,40.6,29.3,70.5,Urea
Sandy,Sugarcane,11,29,37,6.0,43.4,21.4,57.2,28-28-0
Clayey,Groundnut,104,81,11,7.2,53.5,24.0,68.9,10-26-26
Black,Cotton,76,49,90,7.8,64.2,20.4,80.4,DAP
Black,Cotton,91,48,94,6.9,55.2,32.8,82.2,DAP
Clayey,Cotton,79,19,36,7.5,51.5,37.8,50.8,DAP
Loamy,Sugarcane,29,14,49,8.2,56.0,23.7,72.7,28-28-0
Black,Chickpea,79,69,53,6.0,70.3,37.7,63.7,17-17-17
Red,Cotton,118,9,88,7.6,59.5,29.7,42.7,DAP
Loamy,Cotton,19,65,25,7.1,72.9,28.1,46.0,Urea
Clayey,Wheat,10,97,12,7.2,47.9,29.8,48.1,10-26-26
Loamy,Rice,74,45,20,6.2,67.7,37.7,75.7,10-26-26
Black,Cotton,80,15,93,7.1,72.7,29.0,58.3,DAP
Black,Maize,112,33,63,5.5,25.7,23.2,49.6,DAP
Loamy,Maize,17,12,98,7.8,73.9,37.3,63.5,28-28-0
Loamy,Cotton,97,90,48,7.8,73.0,28.2,75.2,17-17-17
Sandy,Pulses,47,89,92,6.2,71.3,20.2,56.1,Urea
Clayey,Millets,97,71,17,6.2,37.7,29.3,76.4,10-26-26
Loamy,Cotton,93,97,75,7.0,72.7,22.8,84.6,17-17-17
Black,Rice,95,94,82,8.4,70.9,27.1,73.9,17-17-17
Clayey,Rice,69,5,62,6.7,53.7,37.9,57.4,DAP
Red,Cotton,69,21,26,6.2,62.6,20.5,77.8,DAP
Sandy,Maize,25,80,30,7.2,61.0,24.0,59.4,Urea
Black,Chickpea,9,25,82,8.0,70.2,22.6,59.4,28-28-0
